track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1EwmhTKFcQ9EZESRRDmOes,War in the East,Anonymuz,27,5ZLq9VElfp7XWvdBFrE1Rl,War in the East,2018-01-20,Rap Party 24/7 Radio / Gangsta Rap,4sGnz2x5tbHE2YlW1nemfb,rap,gangster rap,0.818,0.611,8,-5.424,1,0.307,0.537,0,0.222,0.317,120.084,96967
2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,53,4yKwChgdGpJzf2nn3nPHfP,Moral of the Story,2019-02-14,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48E-06,0.102,0.265,119.812,201084
34v7cD6VR3fVYguedQ1wuh,Tropical Forest,The Sleep Specialist,54,3TRoUn8OKRVUcbprXmyGgj,Jungle And Forest Sounds,2017-01-09,Tropical Nights,37i9dQZF1DX0ES2mnOVvai,latin,tropical,0.311,0.377,3,-36.509,0,0.0366,0.129,0.979,0.247,0.0388,84.122,117449
2RBnSQrhdtUnjqEj3upHTk,Show Yourself,Chris2pher,35,3Oc6wMMMGE0YJgEnJWEEGt,Show Yourself,2019-12-20,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.674,0.417,1,-7.759,1,0.0363,0.616,7.63E-04,0.103,0.692,107.144,162038
7wI7vVQd34lK21uuHLIzog,Mammoth - Radio Edit,Dimitri Vegas & Like Mike,0,6Yn3Qx1JtaxdKLYMBCgPgx,Mammoth (Remixes),2013-06-03,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.543,0.764,11,-7.573,0,0.446,0.00564,0.0145,0.238,0.583,127.944,160258
4YUiaAd06ErtRJyfyAi0kZ,Barracuda,Heart,0,36X4WdQjW2JAZhn77fNRYc,Playlist: The Very Best Of Heart,2008,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.512,0.923,4,-4.282,0,0.0612,0.0038,0.0369,0.143,0.615,137.33,262973
3nABlIAhAuI5YdL4EExmvt,Ha Ha Ha Ha (Yeah),White Denim,1,2QfaqpOUEkVFSx3pvRvY51,Stiff,2016-03-25,Blues Rock,56dbowk1V5ycS5jW7DSvi5,rock,classic rock,0.713,0.911,9,-5.45,1,0.0467,0.00808,0,0.131,0.927,134.822,233960
24LS4lQShWyixJ0ZrJXfJ5,Sweet Nothing (feat. Florence Welch),Calvin Harris,71,7w19PFbxAjwZ7UVNp9z0uT,18 Months,2012-10-26,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.573,0.929,8,-3.942,0,0.109,0.197,1.12E-04,0.0567,0.582,127.934,212560
1YDJ2f1JuKzYWZpRYiBYHu,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,44,4fWOVzenXaEAEpEb8mMR2U,If I Lose Myself (Alesso vs OneRepublic),2013-01-01,Dance Pop,0B2HdP15IucgE0vk3sluJR,pop,dance pop,0.518,0.783,2,-4.88,1,0.0406,0.215,9.53E-06,0.14,0.152,125.985,214067
0Z26mbSHJ1dkUu7g9DDgif,Trigger,Major Lazer,80,3Fcqa5sb0vVYEEDHzkiOA1,Trigger,2019-10-24,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.57,0.585,8,-7.041,1,0.251,0.128,9.70E-05,0.111,0.378,97.285,171987
5nASGGi1QarKyMmGg2fhaB,Pynk (feat. Grimes),Janelle Monáe,39,2OmFRiWXeN6bo0SavCOyHV,Pynk,2018-04-10,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,pop,electropop,0.672,0.291,8,-7.843,1,0.0897,0.0375,3.89E-06,0.0925,0.417,100.961,240426
0qy5D3OJre7SPJNMOL9I71,Broccoli,DRAM,69,4mchkmnzdTYIEAnw2FijA3,Broccoli,2016-04-06,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.708,145.99,225205
5lpYRameatJ020FwCl4Y4Y,Volatile,TENDER,34,2NyM0o11IYm3lQ8RM1A5ZS,Tender EP II,2016-02-12,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.538,0.567,4,-8.215,0,0.0468,0.221,0.45,0.124,0.469,84.941,242127
0uppYCG86ajpV2hSR3dJJ0,Give It Away,Red Hot Chili Peppers,73,30Perjew8HyGkdSmqguYyg,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,Hard Rock Cafe Classics,3sv5ViKoPDNnZRsklzEGMN,rock,hard rock,0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,282907
2s1sdSqGcKxpPr5lCl7jAV,Chandelier,Sia,71,6FdNvoO5sF4EKwCX9je1MH,1000 Forms Of Fear (Deluxe Version),2015-05-01,Today's Hits 2000-Present,6a66cg3HcsjYkisYyQcov6,latin,latin hip hop,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,216120
3YCxqkIRn0PY8sC7AAGghF,Got It,Block Scholars,27,4TSPLzMHth2RcjtdgyzJ1C,Got It,2018-09-04,Gangsta Rap/90's Hip-Hop,39IFMVQdRNdb7kVfyTvHjM,rap,gangster rap,0.719,0.676,5,-7.261,1,0.35,0.393,0,0.0665,0.791,91.63,214178
4PTnMiPAfGFV1tqmeAxXGB,Back to You,Manse,0,7syaRBZ1gpfFtV7EvO3jwf,Back to You,2017-06-23,New House   ‍,54XvQQsViMBwjO1ws2o2wx,edm,electro house,0.697,0.914,0,-2.129,1,0.13,0.162,0,0.141,0.364,124.923,180480
6fMITQo0DZUceKEoDPvk2C,Trouble,ChrisLee,33,7tNZ1m0cNfpgPzZskTb9uH,Trouble,2019-07-19,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",3Ho3iO0iJykgEQNbjB2sic,rock,hard rock,0.699,0.272,4,-9.776,0,0.224,0.538,0,0.149,0.178,138.761,156857
5FAK7GY5W3PUBPLkJ6R2wq,Rewind,Louis Futon,46,3UmEtobXw4CXsF1GXuSFQd,Rewind,2017-08-09,Pop EDM,5EgzhnSirHRvu1AqlFLllv,edm,pop edm,0.693,0.664,7,-5.352,1,0.0793,0.206,0,0.124,0.542,96.13,203750
6mqEYpayC5TQFUYTwx7qPo,I'll Go,Donell Jones,47,71sUmWFx7QpjGePX6pSDBw,I'll Go,2000,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.744,0.735,10,-6.514,0,0.0293,0.0188,1.60E-04,0.0569,0.951,99.991,241345
4u6JFQa45iIYPy5l8DK2xc,Lock My Door,Jeff Floyd,30,0zcqYY1KpOd6aOyZSbEagF,Keepin It Real,2008-07-01,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.718,0.819,10,-3.364,1,0.0356,0.258,1.35E-06,0.168,0.929,97.036,353547
0IEvbpIyDb26zwhnFGzuLb,Somethin Serious,Big Mike,22,3huqsj2zWgtPUyktVpiKTz,Somethin' Serious,1994,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.877,0.694,6,-10.506,1,0.18,0.132,1.03E-05,0.0742,0.771,97.92,225600
4gDhGCMUfeL9gAOzEzXVTZ,Jammin Screw,Fat Pat,27,2m3roRDdob7hQabnbqJA6C,Throwed In Da Game,1998-10-13,3rd Coast Classics,1QJ66s6YBZgxMUaVUyrhbo,rap,southern hip hop,0.836,0.611,4,-6.555,0,0.132,0.102,0.0148,0.0553,0.754,96.228,224320
7h7bI2qpPJPsKtbiBO3Ph3,Desierto - Basslovd Remix,Gerstronik,1,4TGvE7HuNJAoiBXFAEjLHP,Desierto (Remixes),2018-08-24,LATIN FLOW MIX - Música Cristiana🎵,396llvvFOIB9jgPg0kqNDb,latin,latin hip hop,0.824,0.845,4,-4.091,0,0.0778,0.0153,0.506,0.0819,0.849,105.023,175381
0tnFKjEEsjD3AVShRgtIun,Vibin,Habstrakt,51,4OQqxllqlZ5I3LuMByAMvO,Vibin,2018-05-25,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,0.719,0.929,4,-3.106,1,0.138,0.00389,0.341,0.115,0.445,126.062,194742
65Zm64XaqNj1pXGAS6Z4hs,Her Favorite Song,Mayer Hawthorne,0,6ke0Z9mkSWc9DHCfJ3mDBH,Her Favorite Song,2013-05-21,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.615,0.921,10,-5.118,0,0.227,0.0261,1.95E-06,0.0982,0.59,87.236,213600
0YammaEkYSeo9vQYZ1OwS6,Say My Name,David Guetta,78,5rbJtzuXtpIP0Ykk7ewIit,7,2018-09-14,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947
7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,Tom Petty,71,5d71Imt5CIb7LpQwDMQ093,Full Moon Fever,1989-01-01,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.765,0.476,7,-13.487,1,0.0329,0.0504,2.76E-06,0.165,0.965,114.02,178360
3w1T8UpNXxpiJAmx1D8rdN,Taxi,J. Blackfoot,32,2AFv7hBQ6f1Ky1UISsbMyR,City Slicker,2002,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.416,0.468,9,-11.786,0,0.0469,0.093,0,0.354,0.27,67.713,302867
4eycOo0qKubeGx3g29dcHZ,Gimme GImme,iamSHUM,21,7nh1r0aHtiyb0mMPJ2GovI,Gimme GImme,2019-12-11,Dance Pop: Japan,37i9dQZF1DXahYFr91pFvG,pop,dance pop,0.705,0.858,7,-3.374,1,0.0627,0.112,0,0.298,0.536,106.019,230943
1xhBXHxqnrbFvAzCNc8ZD2,Bang Bang,Jessie J,40,2ZeHAc9olOJ70wqPjHXhZE,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack),2015-05-12,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.706,0.695,0,-5.764,0,0.131,0.275,0,0.222,0.747,150.028,199053
56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,The Clash,72,1ZH5g1RDq3GY1OvyD0w0s2,Combat Rock (Remastered),1982,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.796,0.872,9,-6.722,0,0.0573,0.287,0,0.284,0.866,129.894,222427
4X0PgIZFO0mYwXOwdFpDEr,Fin de Semana,Kaline,48,54DFcD5tDRBeYjyJE8XP00,Fin de Semana,2019-12-05,El Ritmo,37i9dQZF1DWVOLXBOylBUZ,latin,reggaeton,0.835,0.818,0,-5.439,1,0.461,0.0882,0,0.0452,0.437,100.102,130764
6sREV6MpLHTqcOmBK5mvYF,Face to the Floor,Chevelle,60,4rTrbTxqjHtjle04l4blOV,Hats Off to the Bull,2011-12-06,Hard Rock Workout,6kXNv8J3HCYztxjOIUzApv,rock,hard rock,0.515,0.857,5,-4.582,1,0.0511,1.25E-05,0.0954,0.486,0.669,92.028,218560
3Cq4jRxYpWHHgQGOaGZcMj,MALA SANTA,Becky G,69,4w7X6ojBPCALJIII9GcXt6,MALA SANTA,2019-10-11,Reggaeton 2020 😍 🔥,03sDEv7FN58Mb9CJOs1Tgn,latin,reggaeton,0.851,0.701,9,-3.649,1,0.0396,0.311,2.11E-04,0.163,0.527,98.039,173834
6hypt8VPJxeMXTTcRUHS86,Glory,The Score,71,4enE8eppWJ9fQXLqTP2TDE,Pressure,2019-02-01,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,0.564,0.613,11,-5.055,1,0.0318,0.111,3.22E-06,0.0825,0.48,84.951,166693
2Aa1wE8ofs2tu59TOQrZKW,Cake By The Ocean,DNCE,15,2EGptGE7CCkr1dCO0QRGLQ,SWAAY,2015-10-23,ELECTROPOP,2UsEj2GUukV0GLbsE3rldz,pop,electropop,0.774,0.765,4,-5.503,0,0.0517,0.156,0,0.0523,0.908,119.018,218440
65c6VCikt7f5sAS1heoYQC,Same Beef,Bohemia,64,31psNfWEweb2avBzLNiTZk,Same Beef,2019-09-18,Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,rap,hip hop,0.779,0.854,9,-4.958,1,0.219,0.0462,0,0.21,0.379,91.992,290360
5imCvF3VHty1TZ0qaE1JEj,Blessed (with Tyga),Shenseea,68,7aTeShQY6NnCiFmjYluvcl,Blessed (with Tyga),2019-05-22,Hip-Hop Mixtape,37i9dQZF1DWVdgXTbYm2r0,rap,hip hop,0.856,0.729,1,-5.095,1,0.318,0.0319,1.75E-06,0.428,0.37,108.016,148096
7r9rJH4Vb95JT3o8RMAyNI,This Is 4 My,Silkk The Shocker,11,5qoVzbDCwAkaI1HAlMblRh,Made Man,1999-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.806,0.624,4,-3.086,1,0.391,0.111,0,0.0831,0.745,79.008,171800
1mzARUs2kMMxcKh1ome5aX,Safety (feat. DJ Snake),GASHI,63,1uezDIjS9R7NxGNy2wGlUS,Safety (feat. DJ Snake),2019-08-28,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.755,0.828,1,-4.443,1,0.0356,0.0271,0.0291,0.0799,0.729,109.011,177781
2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Survivor,72,4PT9VulQaQP6XR1xBI2x1W,Eye Of The Tiger,1982,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0.815,0.438,0,-14.522,0,0.0346,0.216,4.66E-04,0.0787,0.552,108.965,243773
4YaKdKVcrM6Gf5ZALtp0gI,Rompe,Priceless,62,3rZb8GgKNTUgL4MZYFoacP,Rompe,2019-03-01,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.824,0.666,3,-5.734,0,0.286,0.179,2.04E-04,0.1,0.88,180.004,184401
4w3InOZmItJiSlhnkr3lv6,Never Alone,Felix Jaehn,67,3MdfIe4hKDL59tOpVwC7DW,Never Alone,2019-09-27,Trance Party 2019 by FUTURE TRANCE,2yofeyPwe0ZNmJHTrGz2Qt,edm,big room,0.675,0.827,8,-4.793,0,0.038,0.0559,2.46E-06,0.126,0.446,125.988,176594
4h90qkbnW1Qq6pBhoPvwko,Sidewalks,The Weeknd,70,2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary,0.542,0.721,1,-5.136,0,0.0625,0.147,0,0.348,0.623,149.831,231360
1bNw2Lwb9abdDkb4zt3rxo,I'll Do for Ya,Johnnie Floss,16,4Y9BUauuLF8RnaddIqgjEl,I'll Do for Ya,2018-12-10,"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop,0.77,0.789,10,-3.502,1,0.236,0.123,3.26E-06,0.0464,0.961,162.069,256679
61CXA6nMgxRc9oQDmVwNX1,Well Done,Sean C. Johnson,19,5h6eFdAvt8zhkNYiz5VAXa,Simply a Vessel Vol 2: Faithful,2009-07-17,Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul,0.358,0.833,10,-4.828,0,0.179,0.39,0,0.197,0.695,130.815,255002
0Gx7phIMvHVT7pXk03h0rH,Chicago Boy,Ari Lennox,58,3hejjJbFsinMBc1KBqF71w,Shea Butter Baby,2019-05-07,I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul,0.675,0.397,6,-7.675,0,0.0413,0.496,5.66E-06,0.333,0.322,119.395,288659
2XUwZ5CObNFeMfU4PHkWEB,Santa Claus Go Straight To The Ghetto,James Brown,4,3xNjZvynzpgahWDrfm1XCn,The Complete James Brown Christmas,2010-01-01,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.666,0.61,0,-6.101,1,0.0399,0.481,0,0.203,0.806,139.085,181053
67wABU4SjBlnDHB0KiU3HL,Flaws,Bastille,51,64fQ94AVziavTPdnkCS6Nj,Bad Blood,2013-01-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.57,0.657,8,-6.987,1,0.0356,0.405,1.86E-06,0.0723,0.41,144.247,218800
5wezdyzeY706PFC6pW0WvP,Taste & See,Cynthia Jones,1,66M0CD2mQy7YWXBcpFyH4h,Gotta Soul,2008-04-29,Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul,0.508,0.276,9,-13.384,0,0.0297,0.567,0,0.0786,0.437,93.489,247320
7N06jo3EnV792VFaG8vuW6,Close Your Eyes,Felix Jaehn,79,0PhTTyRWpJVlg4F5RC0xmE,Close Your Eyes,2019-11-22,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17E-05,0.133,0.52,128.136,160794
6s0NHplywwr1IjnQpUpWJk,Bad To The Bone,George Thorogood & The Destroyers,67,2YeoeDa3soxjD4ANZGG1fj,BAD TO THE BONE,1982-01-01,Blues Rock,56dbowk1V5ycS5jW7DSvi5,rock,classic rock,0.459,0.727,0,-11.777,1,0.0303,0.00614,0.065,0.384,0.954,149.229,292173
65NwOZqoXny4JxqAPlfxRF,Psycho (feat. Ty Dolla $ign),Post Malone,9,60uZsjVd3pN4lgT1nYzMxW,Psycho (feat. Ty Dolla $ign),2018-02-23,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.74,0.558,8,-8.115,1,0.102,0.566,0,0.112,0.421,140.057,220880
7sG2bWi2eDtvX9vX8yC1Gn,Inside Out,The Chainsmokers,59,7mgjbCQ1gzFbASVLgD8YbV,Inside Out,2016-04-01,EDM/POP,6gHk5RFrnALbDNJdaXKivi,edm,pop edm,0.545,0.65,7,-5.853,0,0.0315,0.00308,7.98E-06,0.122,0.121,143.937,233773
4xvTPuwHaXoDM3p0QcY7bH,Música,DJ Luian,78,2FQMp3csm8cgY6vCJkGpN6,Música,2019-12-04,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.788,0.82,1,-4.346,0,0.169,0.22,2.03E-04,0.0799,0.854,177.927,223815
3qzqmTeS5h6CrSPUq5JhiX,Tres Equis,Cypress Hill,31,4tQSV1ZGpwlo3dBiTRuKvM,Cypress Hill,1991-08-13,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,0.662,0.476,0,-14.114,0,0.0613,0.00186,0.00683,0.353,0.489,103.302,114907
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,81,54V1ljNtyzAm053oJqi0SH,Second Helping,1974-04-15,Classic Rock Playlist.,7CESj1xKbxdArRzloygvkl,rock,classic rock,0.596,0.605,7,-12.145,1,0.0255,0.181,3.31E-04,0.0863,0.886,97.798,283800
18Phat5S6ck3pIJItSA9GS,Yo No Se Que Hacer,"Tito ""El Bambino""",45,74kABvzvnMmfBuszUbv4bY,Yo No Se Que Hacer,2017-12-15,This Is: Don Omar,37i9dQZF1DWYBUdckfg1va,latin,reggaeton,0.838,0.71,7,-5.835,0,0.0862,0.126,1.13E-06,0.0589,0.638,159.919,210000
3o7TK4inMYzJC3ZMJCWsRC,Boomshakalaka - Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix,Dimitri Vegas & Like Mike,71,6PuMvgkZDwaIuspIyt0jnU,Boomshakalaka (Dimitri Vegas & Like Mike vs. Afro Bros Radio Mix),2019-11-29,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.752,0.82,1,-2.976,1,0.0461,0.0134,8.04E-04,0.0692,0.822,95.987,211520
1ULa3GfdMKs0MfRpm6xVlu,We Dem Boyz,Wiz Khalifa,67,2pl9PVgr8QFKRGY0HY69GI,Blacc Hollywood (Deluxe),2014-08-19,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.717,0.862,8,-4.736,1,0.054,0.00689,0,0.321,0.52,130.021,224933
4wJFExEZZo62tmwTM9ENDR,Oye Pablo,Danna Paola,81,4cKsqQlyK9pqUTMjI4WnM0,Oye Pablo,2019-08-29,Exitos 2020 - Latin Billboard,0k2IDDkcVyIpIgE6d1woDM,latin,latin pop,0.699,0.65,5,-4.281,0,0.171,0.0332,5.24E-06,0.299,0.52,179.84,177747
4yCo1eRj9ZWKcAcXxxztGS,The Spook,KSHMR,51,5ROsdG0SOOmr2yFdmpp4lB,The Spook,2019-10-28,Bounce United,08QTrfsYYouffgnPjmllAQ,edm,big room,0.719,0.936,9,-3.343,1,0.0712,0.00515,0.0759,0.0723,0.294,128.002,165938
04ru45txpYrAEUE4wc8V33,Feel The Rush - Juelzz Radio Edit,Ingenia,12,5P1b8HQWFCvtUvbw0zkJGX,Feel The Rush (Juelzz Remix),2014-09-17,Big Room House / Bigroom,2EnVd4ugXUybVQoQrarICY,edm,big room,0.649,0.936,1,-3.542,1,0.045,0.00599,0.0141,0.379,0.482,128.01,212542
3h2pnVxdlwh4NWjRkSiMac,When You Were Young,The Killers,2,1m3pbwuYJS9OsXyM2jOSXE,Direct Hits,2013-01-01,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.442,0.973,8,-3.059,0,0.146,3.28E-04,0.0397,0.312,0.258,130.458,220413
